Source,Target,Interaction
SND1,MYB46,Activation
MYB46,CSE,Activation
MYB85,CSE,Activation
SND1,MYB32,Activation
MYB46,MYB32,Activation
MYB46,A_thaliana_MYB4,Activation
ABI4,Abi5,Activation
ABI3,Abi5,Activation
MYB46,knat7,Activation
MYB85,At4CL1_expression,Activation
MYB32,ABI3,Activation
MYB32,ABI4,Activation
MYB32,Abi5,Activation
SND1,CESA4,Activation
SND1,cesa8,Activation
SND1,knat7,Activation
cesa8,naa15,Activation
MYB46,CslA9,Activation
MYB46,CESA4,Activation
MYB46,CesA7,Activation
MYB46,cesa8,Activation
MYB46,MYB85,Activation
knat7,IRX9,Activation
knat7,irx10,Activation
knat7,FRA8,Activation
CSE,nst1_3_plant_s,Repression
MYB32,Expression_of_C4H,Repression
MYB32,SND1,Repression
MYB46,promoter_activity_of_AtACO4,Repression
MYB85,BR_regulated_BZR1_targets,Repression
